,관리번호,공원명,공원구분,소재지도로,소재지지번,위도,경도,공원면적,공원보유시,공원보유_1,공원보유_2,공원보유_3,공원보유_4,지정고시일,관리기관명,전화번호,데이터기준,노인복지시설개수,지하철역개수,버스정류장개수,자전거시설개수,자치센터개수,전통시장개수,고령인구,대중교통지수,노인복지시설점수,자치센터점수,전통시장점수,대중교통점수,총 점수
0,11260-00006,구릉공원,근린공원,,서울특별시 중랑구 신내동,37.61033,127.0961,19651,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,12,0,5,0,0,1,2974,0.3571428571428572,0.8571428571428571,0.0,1.0,0.09615384615384617,2975.9532967032965
1,11260-00051,묵  동,어린이공원,,서울특별시 중랑구 묵1 396-1,37.612574,127.078524,1687,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,14,1,9,2,2,0,2913,2.2142857142857144,1.0,0.6666666666666666,0.0,0.5961538461538461,2915.2628205128203
2,11260-00029,까  치,어린이공원,,서울특별시 중랑구 면목3·8 570,37.5835,127.0872,3232,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,6,0,5,0,2,0,2213,0.3571428571428572,0.42857142857142855,0.6666666666666666,0.0,0.09615384615384617,2214.191391941392
3,11260-00017,한아름,어린이공원,,서울특별시 중랑구 신내2 656-1,37.61324,127.0941,2006,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,8,0,8,0,0,0,2093,0.5714285714285715,0.5714285714285714,0.0,0.0,0.15384615384615385,2093.7252747252746
4,11260-00004,신내어울공원,근린공원,,서울특별시 중랑구 신내동 317-2,37.61163479,127.0974178,12937,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,11,0,8,0,0,0,1873,0.5714285714285715,0.7857142857142857,0.0,0.0,0.15384615384615385,1873.9395604395604
5,11260-00005,능산공원,근린공원,,서울특별시 중랑구 신내동 317-2,37.61163479,127.0974178,12372,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,11,0,8,0,0,0,1873,0.5714285714285715,0.7857142857142857,0.0,0.0,0.15384615384615385,1873.9395604395604
6,11260-00020,망우동,어린이공원,,서울특별시 중랑구 망우본 583-2,37.60126,127.1065,2909,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,9,0,10,0,0,0,1758,0.7142857142857144,0.6428571428571429,0.0,0.0,0.19230769230769235,1758.8351648351647
7,11260-00011,은하수,어린이공원,,서울특별시 중랑구 신내2 650-1,37.61562,127.0912,2000,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,4,1,12,4,0,0,1592,3.7142857142857144,0.2857142857142857,0.0,0.0,1.0,1593.2857142857142
8,11260-00030,샘  터,어린이공원,,서울특별시 중랑구 면목4 656,37.57303,127.0833,1592,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,9,0,6,0,3,0,1530,0.4285714285714286,0.6428571428571429,1.0,0.0,0.11538461538461539,1531.7582417582416
9,11260-00010,서  당,어린이공원,,서울특별시 중랑구 묵1 20-1,37.61703,127.0881,2000,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,5,1,10,2,0,0,1131,2.285714285714286,0.35714285714285715,0.0,0.0,0.6153846153846154,1131.9725274725274
10,11260-00007,능말공원,근린공원,,서울특별시 중랑구 신내동 111-31,37.61535601,127.1070691,13101,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,3,0,6,0,0,0,885,0.4285714285714286,0.21428571428571427,0.0,0.0,0.11538461538461539,885.3296703296703
11,11260-00003,신내공원,근린공원,,서울특별시 중랑구 신내동 652,37.61374917,127.0892086,18699,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,4,0,6,0,0,0,716,0.4285714285714286,0.2857142857142857,0.0,0.0,0.11538461538461539,716.401098901099
12,11260-00008,배말공원,근린공원,,서울특별시 중랑구 신내동 산 8-9,37.61401402,127.1123054,13902,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,1,0,2,0,0,0,657,0.14285714285714288,0.07142857142857142,0.0,0.0,0.038461538461538464,657.1098901098901
13,11260-00002,봉화산근린공원,근린공원,,서울특별시 중랑구 묵동 산 46-1,37.60823987,127.0841101,977500,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,0,0,0,0,0,0,486,0.0,0.0,0.0,0.0,0.0,486.0
14,11260-00001,용마도시자연공원,도시농업공원,,서울특별시 중랑구 면목동 산 1-1,37.58411925,127.1078998,2800624,,,,,,,서울특별시 중랑구청,02-2094-2364,2020/11/12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
